datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,XLK_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread,close_XLK_spread
2023-04-21 11:00:00-04:00,88.81,89.42,88.77,89.11,4630174.0,89.132,15234,2023-04-21 11:00:00-04:00,16.94,316.5,73.83,0.0033779979732011522,0.005947116411798753,1.5141338263490458,-227.39,15.280000000000001
2023-04-21 12:00:00-04:00,89.12,89.16,88.62,88.71,3468971.0,88.858,11938,2023-04-21 12:00:00-04:00,16.89,316.24,73.77,-0.004488834025361932,0.0060010784445701315,1.074603192329233,-227.53000000000003,14.939999999999998
2023-04-21 13:00:00-04:00,88.73,88.94,88.45,88.85,3484162.0,88.753,12824,2023-04-21 13:00:00-04:00,16.7,316.88,73.92,0.0015781760793596167,0.004469957595829737,1.1230298555563567,-228.03,14.929999999999993
2023-04-21 14:00:00-04:00,88.86,88.97,88.5,88.7,2881109.0,88.738,11701,2023-04-21 14:00:00-04:00,16.72,316.56,73.83,-0.0016882386043892694,0.0044529173498353055,1.0251865205775992,-227.86,14.870000000000005
2023-04-21 15:00:00-04:00,88.7,88.77,88.05,88.39,6342728.0,88.372,24884,2023-04-21 15:00:00-04:00,16.67,316.6,73.87,-0.003494926719278535,0.004436675446896323,2.2299447629929032,-228.21000000000004,14.519999999999996
2023-04-21 16:00:00-04:00,88.41,88.5,88.35,88.41,1555290.0,88.429,128,2023-04-21 16:00:00-04:00,16.77,316.35,73.91,0.00022626994003838163,0.004288298405858263,0.5698936370030107,-227.94000000000003,14.5
2023-04-21 17:00:00-04:00,88.41,88.43,88.38,88.38,149735.0,88.425,54,2023-04-21 17:00:00-04:00,16.77,316.5,73.91,-0.000339328130302019,0.004273055700048069,0.058543157618171034,-228.12,14.469999999999999
2023-04-21 18:00:00-04:00,88.38,88.39,88.31,88.32,16507.0,88.361,43,2023-04-21 18:00:00-04:00,16.77,316.49,73.78,-0.0006788866259335169,0.0040589706319449905,0.007240441023434387,-228.17000000000002,14.539999999999992
2023-04-21 19:00:00-04:00,88.34,88.35,88.28,88.35,9983.0,88.311,43,2023-04-21 19:00:00-04:00,16.77,316.48,73.78,0.00033967391304345895,0.004057196094662595,0.00507660625795079,-228.13000000000002,14.569999999999993
2023-04-24 04:00:00-04:00,88.3,88.3,88.0,88.02,11878.0,88.055,40,2023-04-24 04:00:00-04:00,17.96,315.3,73.65,-0.0037351443123938566,0.004091660528374238,0.006455473375112568,-227.28000000000003,14.36999999999999
2023-04-24 05:00:00-04:00,88.05,88.38,88.05,88.2,1346.0,88.246,8,2023-04-24 05:00:00-04:00,17.72,316.3,73.78,0.002044989775051187,0.0041462985026203695,0.0007324853355320229,-228.10000000000002,14.420000000000002
2023-04-24 06:00:00-04:00,88.28,88.28,88.28,88.28,100.0,88.28,1,2023-04-24 06:00:00-04:00,17.6,316.4,73.62,0.0009070294784581101,0.004165085114358725,5.44562680498704e-05,-228.11999999999998,14.659999999999997
2023-04-24 07:00:00-04:00,88.22,88.52,88.22,88.5,15981.0,88.407,73,2023-04-24 07:00:00-04:00,17.51,316.46,73.73,0.0024920706841866647,0.00414654321912863,0.00870733007793281,-227.95999999999998,14.769999999999996
2023-04-24 08:00:00-04:00,88.25,88.66,88.0,88.42,78600.0,88.382,321,2023-04-24 08:00:00-04:00,17.39,316.75,73.74,-0.0009039548022599098,0.0040699040977120555,0.04274471772361864,-228.32999999999998,14.680000000000007
2023-04-24 09:00:00-04:00,88.42,88.64,87.45,87.84,7082249.0,88.109,22802,2023-04-24 09:00:00-04:00,17.35,316.92,73.75,-0.0065596019000225825,0.004227550739358383,3.230794197958563,-229.08,14.090000000000003
2023-04-24 10:00:00-04:00,87.85,87.9,86.81,86.91,7071015.0,87.384,26139,2023-04-24 10:00:00-04:00,17.28,315.09,73.4,-0.010587431693989124,0.004622245717527838,2.778545446529303,-228.17999999999998,13.509999999999991
2023-04-24 11:00:00-04:00,86.91,87.03,86.4,86.51,6407496.0,86.69,23902,2023-04-24 11:00:00-04:00,17.57,314.01,73.06,-0.004602462317339628,0.004607537080179586,2.237265673116409,-227.5,13.450000000000003
2023-04-24 12:00:00-04:00,86.51,87.17,86.34,87.1,3570853.0,86.756,11871,2023-04-24 12:00:00-04:00,17.21,314.84,73.27,0.0068200208068429635,0.004899177690642377,1.175204365542307,-227.73999999999998,13.829999999999998
2023-04-24 13:00:00-04:00,87.12,87.44,86.95,87.4,2683506.0,87.141,10009,2023-04-24 13:00:00-04:00,16.95,315.62,73.43,0.003444316877152742,0.00398279697705776,0.9469925836019046,-228.22,13.969999999999999
2023-04-24 14:00:00-04:00,87.4,87.71,87.25,87.64,3090912.0,87.465,10676,2023-04-24 14:00:00-04:00,16.99,315.78,73.52,0.0027459954233408634,0.004035889765943948,1.1763118453046895,-228.14,14.120000000000005
2023-04-24 15:00:00-04:00,87.64,87.68,87.33,87.58,4602752.0,87.519,18436,2023-04-24 15:00:00-04:00,16.8,315.94,73.56,-0.000684618895481548,0.003922870580363419,1.7525889919486797,-228.36,14.019999999999996
2023-04-24 16:00:00-04:00,87.57,87.59,87.42,87.44,1636991.0,87.569,201,2023-04-24 16:00:00-04:00,16.89,315.73,73.58,-0.0015985384791048496,0.0038343222913232297,0.6458425295877496,-228.29000000000002,13.86
2023-04-24 17:00:00-04:00,87.42,87.57,87.27,87.57,26138.0,87.338,79,2023-04-24 17:00:00-04:00,16.89,315.62,73.55,0.0014867337602926245,0.003831499023234439,0.011067177509198707,-228.05,14.019999999999996
2023-04-24 18:00:00-04:00,87.37,87.45,87.34,87.39,13183.0,87.38,49,2023-04-24 18:00:00-04:00,16.89,315.65,73.55,-0.0020554984583760483,0.00383726797137019,0.0059426726154699315,-228.26,13.840000000000003
2023-04-24 19:00:00-04:00,87.39,87.45,87.3,87.42,9377.0,87.373,33,2023-04-24 19:00:00-04:00,16.89,315.74,73.55,0.000343288705801692,0.0037877196195852925,0.004930865345045414,-228.32,13.870000000000005
2023-04-25 04:00:00-04:00,86.81,86.95,86.65,86.85,3603.0,86.759,19,2023-04-25 04:00:00-04:00,17.7,314.5,73.25,-0.006520247083047437,0.0040093695922426825,0.001975209557645981,-227.65,13.599999999999994
2023-04-25 05:00:00-04:00,86.74,86.91,86.74,86.91,1652.0,86.843,9,2023-04-25 05:00:00-04:00,17.68,314.6,73.25,0.000690846286701241,0.004023302517955672,0.0009093380596894566,-227.69000000000003,13.659999999999997
2023-04-25 06:00:00-04:00,86.99,87.08,86.82,86.82,5393.0,86.98,24,2023-04-25 06:00:00-04:00,17.61,314.68,73.25,-0.0010355540214015413,0.004023385254508436,0.002969467726901913,-227.86,13.569999999999993
2023-04-25 07:00:00-04:00,87.04,87.35,87.0,87.14,21098.0,87.194,88,2023-04-25 07:00:00-04:00,17.58,314.67,73.17,0.003685786685095671,0.0041431775488022194,0.011613325578272524,-227.53000000000003,13.969999999999999
2023-04-25 08:00:00-04:00,87.14,87.4,87.0,87.25,47378.0,87.177,186,2023-04-25 08:00:00-04:00,17.66,314.57,73.24,0.001262336470048142,0.004099765644820175,0.02605361072893167,-227.32,14.010000000000005
2023-04-25 09:00:00-04:00,87.25,87.39,85.84,85.92,6336740.0,86.302,22795,2023-04-25 09:00:00-04:00,17.72,314.11,73.17,-0.015243553008595923,0.005219811636919416,2.9676794180880433,-228.19,12.75
2023-04-25 10:00:00-04:00,85.92,86.3,85.01,85.52,8995502.0,85.456,33739,2023-04-25 10:00:00-04:00,17.86,313.41,72.86,-0.004655493482309203,0.005244404965961513,3.4798565172170073,-227.89000000000004,12.659999999999997
2023-04-25 11:00:00-04:00,85.52,85.95,85.09,85.31,7511706.0,85.601,23321,2023-04-25 11:00:00-04:00,18.22,312.66,72.58,-0.002455565949485372,0.0051585103690067755,2.5379038202218034,-227.35000000000002,12.730000000000004
2023-04-25 12:00:00-04:00,85.32,85.34,84.64,84.95,4793982.0,84.907,15750,2023-04-25 12:00:00-04:00,18.44,312.33,72.48,-0.0042199038799671795,0.0051807197623354425,1.500193251527119,-227.38,12.469999999999999
2023-04-25 13:00:00-04:00,84.95,85.17,84.28,84.45,4457040.0,84.672,15926,2023-04-25 13:00:00-04:00,19.33,311.24,72.28,-0.005885815185403209,0.005151528145697876,1.4544975838570948,-226.79000000000002,12.170000000000002
2023-04-25 14:00:00-04:00,84.47,84.57,84.07,84.21,4063002.0,84.313,14259,2023-04-25 14:00:00-04:00,19.48,310.79,72.19,-0.002841918294849144,0.00474323822465147,1.3943446260893246,-226.58000000000004,12.019999999999996
2023-04-25 15:00:00-04:00,84.2,84.53,83.76,83.8,6477808.0,84.155,28923,2023-04-25 15:00:00-04:00,19.65,309.94,71.97,-0.004868780429877595,0.004752575929292408,2.2203810284034846,-226.14,11.829999999999998
2023-04-25 16:00:00-04:00,83.8,84.26,83.65,84.21,3063868.0,83.82,1181,2023-04-25 16:00:00-04:00,18.76,312.63,72.73,0.004892601431980781,0.00459005630577305,1.0593988955809355,-228.42000000000002,11.47999999999999
2023-04-25 17:00:00-04:00,84.24,84.99,84.21,84.9,231087.0,84.647,725,2023-04-25 17:00:00-04:00,18.76,313.34,73.01,0.008193801211257679,0.004975561980557409,0.08344115818076632,-228.43999999999997,11.89
2023-04-25 18:00:00-04:00,84.85,85.86,84.85,85.85,335012.0,85.493,897,2023-04-25 18:00:00-04:00,18.76,313.75,73.27,0.011189634864546383,0.0056603801953694225,0.12730036825347416,-227.9,12.579999999999998
2023-04-25 19:00:00-04:00,85.72,85.95,85.55,85.7,89851.0,85.653,233,2023-04-25 19:00:00-04:00,18.76,313.63,73.42,-0.0017472335468839972,0.005662092592960237,0.03734423631585358,-227.93,12.280000000000001
2023-04-26 04:00:00-04:00,85.66,85.66,84.99,85.34,9411.0,85.235,43,2023-04-26 04:00:00-04:00,18.67,314.0,73.2,-0.004200700116686162,0.005704634915969047,0.0040483660803533345,-228.66,12.14
2023-04-26 05:00:00-04:00,85.34,85.39,85.2,85.2,3420.0,85.302,18,2023-04-26 05:00:00-04:00,18.83,313.96,73.16,-0.0016404968361847239,0.005669890323013374,0.001471913786824663,-228.76,12.040000000000006
2023-04-26 06:00:00-04:00,85.08,85.16,84.9,84.9,6883.0,85.007,38,2023-04-26 06:00:00-04:00,19.16,312.89,73.22,-0.0035211267605633756,0.005688851729983907,0.00296273575309026,-227.98999999999998,11.680000000000007
2023-04-26 07:00:00-04:00,84.99,85.31,84.74,85.31,125059.0,85.085,415,2023-04-26 07:00:00-04:00,19.11,312.06,73.05,0.004829210836277964,0.005848593224300279,0.053697018398331714,-226.75,12.260000000000005
2023-04-26 08:00:00-04:00,84.96,86.04,84.75,86.02,328631.0,85.646,968,2023-04-26 08:00:00-04:00,18.7,313.4,73.36,0.008322588207712922,0.006075883250294748,0.14012763758411956,-227.38,12.659999999999997
2023-04-26 09:00:00-04:00,86.02,87.18,85.32,86.36,9490339.0,86.129,36907,2023-04-26 09:00:00-04:00,18.66,313.69,73.2,0.0039525691699604515,0.006151770210477028,3.3657736454441944,-227.32999999999998,13.159999999999997
2023-04-26 10:00:00-04:00,86.34,86.69,85.87,86.54,8666401.0,86.284,29902,2023-04-26 10:00:00-04:00,18.57,313.25,73.34,0.00208429828624368,0.006171643804450453,2.664362516816358,-226.70999999999998,13.200000000000003
2023-04-26 11:00:00-04:00,86.54,87.34,86.42,87.16,5827412.0,86.909,20419,2023-04-26 11:00:00-04:00,18.01,314.33,73.67,0.007164317078807381,0.006332163195315509,1.6447553625479414,-227.17,13.489999999999995
2023-04-26 12:00:00-04:00,87.17,87.35,86.39,86.5,4649713.0,86.869,15488,2023-04-26 12:00:00-04:00,18.41,313.56,73.45,-0.007572280862781056,0.006546242541463163,1.2323181413184314,-227.06,13.049999999999997
2023-04-26 13:00:00-04:00,86.5,86.69,86.03,86.2,3443000.0,86.439,12462,2023-04-26 13:00:00-04:00,19.02,312.75,73.18,-0.003468208092485492,0.005603692496372921,0.9488883612999781,-226.55,13.019999999999996
2023-04-26 14:00:00-04:00,86.2,86.36,85.7,85.76,3254081.0,86.037,12644,2023-04-26 14:00:00-04:00,19.28,311.92,73.0,-0.005104408352668233,0.005624929207198142,0.9738718249583489,-226.16000000000003,12.760000000000005
